post_id,run_id,scraped_at,price,year,make,model,mileage,transmission,fuel_type,drive_type,title_status,condition,color,city,state,zip_code,source_txt,llm_provider,llm_model,llm_ts
7924386182,20260406210007,2026-04-06T21:00:07Z,13800,2012,TOYOTA,CAMRY SE,93250,automatic,gas,fwd,clean,excellent,red,Waterbury,CT,,scrapes/20260406210007/7924386182.txt,vertex,gemini-2.5-flash,2026-04-06T21:15:05.313626Z
7924375576,20260406130007,2026-04-06T13:00:07Z,6999,2012,Cadillac,CTS Premium,170000,automatic,gas,4wd,clean,excellent,blue,Hamden,CT,,scrapes/20260406130007/7924375576.txt,vertex,gemini-2.5-flash,2026-04-06T13:16:36.020120Z
7924262826,20260406210007,2026-04-06T21:00:07Z,1200,1990,Volvo,240,252300,automatic,gas,rwd,clean,fair,blue,Madison,CT,,scrapes/20260406210007/7924262826.txt,vertex,gemini-2.5-flash,2026-04-06T21:14:42.334951Z
7924062352,20260407020024,2026-04-07T02:00:24Z,4700,2015,subaru,impreza,183000,automatic,gas,4wd,clean,excellent,silver,Shelton,CT,,scrapes/20260407020024/7924062352.txt,vertex,gemini-2.5-flash,2026-04-07T02:15:09.973751Z
7924043271,20260406170006,2026-04-06T17:00:06Z,5800,2005,Chevrolet,Avalanche,215000,automatic,gas,4wd,clean,good,,Stratford,CT,,scrapes/20260406170006/7924043271.txt,vertex,gemini-2.5-flash,2026-04-06T17:14:32.237578Z
7923918053,20260401100012,2026-04-01T10:00:12Z,6000,1986,Chevy,El Camino,1234567,automatic,gas,,clean,good,maroon and silver,Middlebury,CT,,scrapes/20260401100012/7923918053.txt,vertex,gemini-2.5-flash,2026-04-01T10:16:18.660458Z
7923912455,20260406120021,2026-04-06T12:00:21Z,17000,2019,audi,a6 premium plus,42250,automatic,gas,,clean,excellent,black,Danbury,CT,,scrapes/20260406120021/7923912455.txt,vertex,gemini-2.5-flash,2026-04-06T12:14:09.692169Z
7923882371,20260406180006,2026-04-06T18:00:06Z,21900,2021,lexus,NX 300,125753,automatic,gas,awd,clean,like new,black,Meriden,CT,,scrapes/20260406180006/7923882371.txt,vertex,gemini-2.5-flash,2026-04-06T18:14:12.503803Z
7923838233,20260406170006,2026-04-06T17:00:06Z,9998,2015,Subaru,Outback,174302,automatic,gas,awd,clean,Used,blue,East Granby,CT,,scrapes/20260406170006/7923838233.txt,vertex,gemini-2.5-flash,2026-04-06T17:13:59.828809Z
7923762274,20260404130012,2026-04-04T13:00:12Z,7900,2019,Hyundai,Elantra,121000,automatic,gas,fwd,clean,excellent,grey,Branford,CT,,scrapes/20260404130012/7923762274.txt,vertex,gemini-2.5-flash,2026-04-04T13:16:22.143857Z
7923756382,20260404120010,2026-04-04T12:00:10Z,11900,2014,Honda,CR-V EX,130000,automatic,gas,4wd,clean,excellent,brown,Branford,CT,,scrapes/20260404120010/7923756382.txt,vertex,gemini-2.5-flash,2026-04-04T12:14:01.526252Z
7923687600,20260405120040,2026-04-05T12:00:40Z,10950,2015,mercedes-benz,gl450 4matic,124948,automatic,gas,4wd,clean,excellent,black,Meriden,CT,,scrapes/20260405120040/7923687600.txt,vertex,gemini-2.5-flash,2026-04-05T12:14:44.209478Z
7923643535,20260404210010,2026-04-04T21:00:10Z,5485,2013,Volvo,S60 T5 Sport Sedan,101000,automatic,gas,fwd,clean,great,white,Branford,CT,,scrapes/20260404210010/7923643535.txt,vertex,gemini-2.5-flash,2026-04-04T21:14:31.528710Z
7923627347,20260405130006,2026-04-05T13:00:06Z,20000,2023,volkswagen,tiguan,22500,automatic,gas,,clean,excellent,grey,New Milford,CT,,scrapes/20260405130006/7923627347.txt,vertex,gemini-2.5-flash,2026-04-05T13:13:59.157752Z
7923573368,20260405110033,2026-04-05T11:00:33Z,9500,2013,nissan,altima,103000,automatic,gas,,clean,GREAT CONDITIONS!,white,Stratford,CT,,scrapes/20260405110033/7923573368.txt,vertex,gemini-2.5-flash,2026-04-05T11:13:46.759613Z
